iter	Passed	Remaining
0	0	984
1	1	897
2	2	892
3	3	867
4	4	850
5	5	831
6	5	837
7	6	828
8	7	819
9	8	813
10	8	807
11	9	804
12	10	801
13	11	814
14	12	816
15	13	814
16	14	810
17	14	807
18	15	806
19	16	805
20	17	801
21	17	796
22	18	795
23	19	792
24	20	788
25	20	786
26	21	785
27	22	783
28	23	780
29	24	779
30	24	780
31	25	780
32	26	779
33	27	778
34	28	776
35	28	774
36	29	774
37	30	771
38	31	779
39	32	778
40	33	777
41	34	775
42	34	774
43	35	773
44	36	772
45	37	769
46	37	767
47	38	766
48	39	765
49	40	763
50	40	762
51	41	760
52	42	759
53	43	757
54	44	756
55	44	755
56	45	753
57	46	752
58	47	751
59	47	750
60	48	750
61	49	751
62	50	750
63	51	749
64	52	748
65	52	748
66	53	747
67	54	746
68	55	745
69	56	745
70	56	745
71	57	745
72	58	745
73	59	745
74	60	743
75	61	742
76	61	740
77	62	739
78	63	738
79	64	737
80	64	736
81	65	736
82	66	736
83	67	738
84	68	738
85	69	737
86	70	738
87	71	737
88	72	737
89	72	737
90	73	735
91	74	734
92	75	733
93	75	732
94	76	732
95	77	732
96	78	732
97	79	731
98	80	730
99	81	729
100	81	727
101	82	726
102	83	725
103	84	723
104	84	723
105	85	722
106	86	720
107	87	720
108	88	719
109	88	718
110	89	717
111	90	717
112	91	716
113	92	715
114	92	714
115	93	713
116	94	712
117	95	711
118	96	711
119	97	711
120	97	710
121	98	709
122	99	708
123	100	707
124	100	706
125	101	705
126	102	704
127	103	704
128	104	703
129	105	702
130	105	702
131	106	700
132	107	699
133	108	698
134	109	699
135	109	697
136	110	697
137	111	695
138	112	695
139	113	694
140	113	693
141	114	693
142	115	692
143	116	692
144	117	691
145	118	690
146	118	689
147	119	688
148	120	687
149	121	686
150	122	685
151	122	685
152	123	684
153	124	683
154	125	682
155	125	681
156	126	680
157	127	679
158	128	678
159	129	678
160	130	677
161	130	676
162	131	675
163	132	674
164	133	673
165	133	672
166	134	671
167	135	671
168	136	670
169	137	669
170	137	668
171	138	667
172	139	666
173	140	665
174	140	664
175	141	663
176	142	663
177	143	662
178	144	660
179	144	659
180	145	658
181	146	657
182	147	656
183	147	655
184	148	655
185	149	655
186	150	654
187	151	654
188	152	653
189	152	651
190	153	651
191	154	651
192	155	650
193	156	649
194	157	649
195	158	648
196	158	647
197	159	647
198	160	646
199	161	646
200	162	645
201	163	644
202	163	643
203	164	643
204	165	642
205	166	640
206	167	640
207	167	638
208	168	637
209	169	636
210	170	635
211	170	635
212	171	634
213	172	633
214	173	632
215	173	631
216	174	630
217	175	629
218	176	628
219	176	627
220	177	626
221	178	626
222	179	625
223	180	624
224	181	623
