iter	Passed	Remaining
0	1	1892
1	3	1788
2	5	1707
3	6	1652
4	8	1622
5	10	1688
6	11	1667
7	13	1650
8	14	1635
9	16	1642
10	18	1638
11	20	1654
12	21	1654
13	23	1664
14	25	1673
15	27	1671
16	28	1664
17	30	1659
18	32	1658
19	33	1658
20	35	1666
21	37	1673
22	39	1674
23	41	1684
24	44	1743
25	46	1755
26	48	1748
27	50	1752
28	52	1751
29	54	1765
30	57	1790
31	59	1789
32	60	1778
33	62	1769
34	63	1762
35	65	1747
36	66	1735
37	68	1729
38	70	1726
39	71	1715
40	73	1709
41	74	1700
42	76	1695
43	77	1685
44	78	1673
45	80	1663
46	81	1655
47	83	1651
48	84	1642
49	86	1635
50	87	1627
51	88	1619
52	90	1611
53	91	1604
54	92	1597
55	94	1591
56	95	1583
57	97	1578
58	98	1576
59	100	1570
60	101	1563
61	102	1557
62	104	1550
63	105	1544
64	107	1541
65	108	1535
66	109	1528
67	111	1522
68	112	1520
69	114	1518
70	115	1517
71	117	1512
72	118	1507
73	120	1501
74	121	1498
75	122	1493
76	124	1488
77	125	1484
78	127	1480
79	128	1476
80	129	1471
81	131	1466
82	132	1462
83	133	1460
84	135	1456
85	136	1452
86	138	1448
87	139	1443
88	140	1442
89	142	1439
90	143	1437
91	145	1433
92	146	1429
93	147	1425
94	149	1420
95	150	1417
96	151	1414
97	153	1411
98	154	1409
99	156	1407
100	157	1404
101	159	1402
102	161	1402
103	162	1401
104	164	1399
105	165	1397
106	167	1395
107	169	1395
108	170	1394
109	172	1391
110	173	1389
111	175	1387
112	176	1385
113	177	1383
114	179	1380
115	180	1377
116	182	1375
117	183	1373
118	185	1372
119	187	1371
120	188	1369
121	189	1366
122	191	1363
123	192	1361
124	194	1359
125	195	1359
126	197	1356
127	198	1354
128	200	1351
129	201	1349
130	203	1346
131	204	1345
132	206	1342
133	207	1340
134	208	1338
135	210	1337
136	211	1335
137	213	1333
138	214	1331
139	216	1329
140	217	1327
141	219	1325
142	220	1323
143	222	1323
144	224	1321
145	225	1320
146	227	1317
147	228	1315
148	230	1315
149	231	1313
150	233	1311
151	234	1310
152	236	1308
153	237	1306
154	239	1306
155	241	1304
156	242	1302
157	243	1299
158	245	1296
159	246	1293
160	248	1292
161	249	1290
162	250	1287
163	252	1285
164	253	1283
165	254	1280
166	256	1278
167	257	1276
168	259	1273
169	260	1271
170	261	1269
171	263	1267
172	264	1264
173	266	1263
174	267	1261
175	268	1258
176	270	1255
177	271	1253
178	272	1250
179	274	1248
180	275	1246
181	276	1244
182	278	1242
183	279	1241
184	281	1239
185	282	1237
186	284	1234
187	285	1232
188	286	1230
189	288	1228
190	289	1226
191	290	1223
192	292	1222
193	293	1221
194	295	1219
195	296	1217
196	298	1216
197	299	1214
198	301	1214
199	303	1212
200	304	1210
201	306	1209
202	307	1207
203	309	1206
204	310	1205
205	312	1204
206	313	1201
207	315	1199
208	316	1198
209	317	1196
210	319	1194
211	320	1192
212	322	1190
213	323	1188
214	324	1185
215	326	1183
216	327	1182
217	328	1180
218	330	1178
219	331	1175
220	333	1174
221	334	1173
222	336	1173
223	338	1171
224	339	1170
225	341	1168
226	342	1166
227	344	1165
228	345	1163
229	346	1161
230	348	1159
231	349	1158
232	351	1156
233	352	1154
234	354	1152
235	355	1151
